Col1,Col2,emission
RoadRunner,AGOC-3A,4341.5551940167325
RoadRunner,Appluimonia,2971.3278920471294
RoadRunner,Chlorodinine,3185.9587175852093
RoadRunner,Methylosmolene,3436.3543157797694
Kasios,AGOC-3A,4245.336411918254
Kasios,Appluimonia,2873.201151285094
Kasios,Chlorodinine,3089.8362689339006
Kasios,Methylosmolene,3356.3484727317095
Radiance,AGOC-3A,4419.4098439075005
Radiance,Appluimonia,2891.8847065062882
Radiance,Chlorodinine,3126.9914597959114
Radiance,Methylosmolene,3458.580334596769
Indigo,AGOC-3A,4055.7878008175007
Indigo,Appluimonia,2616.7432856914816
Indigo,Chlorodinine,2832.5999600949553
Indigo,Methylosmolene,3181.724625541752
April,AGOC-3A,4725.359741110016
August,AGOC-3A,5654.555650020008
December,AGOC-3A,6682.173859530002
April,Appluimonia,3001.2444214900083
August,Appluimonia,3453.5908017100037
December,Appluimonia,4898.321812330003
April,Chlorodinine,3336.747157720014
August,Chlorodinine,3679.1589436900026
December,Chlorodinine,5219.480305000011
April,Methylosmolene,3916.963558489988
August,Methylosmolene,3711.695713279985
December,Methylosmolene,5804.348476880004
