,index,Date Time ,direction,speed
0,11,"April 01, 2016, 12:00:00 AM",190.5,4.0
1,49,"April 01, 2016, 01:00:00 AM",190.5,4.0
2,105,"April 01, 2016, 02:00:00 AM",190.5,4.0
3,124,"April 01, 2016, 03:00:00 AM",203.3,5.0
4,166,"April 01, 2016, 04:00:00 AM",203.3,5.0
5,182,"April 01, 2016, 05:00:00 AM",203.3,5.0
6,236,"April 01, 2016, 06:00:00 AM",201.1,5.2
7,281,"April 01, 2016, 07:00:00 AM",201.1,5.2
8,308,"April 01, 2016, 08:00:00 AM",201.1,5.2
9,354,"April 01, 2016, 09:00:00 AM",204.9,4.1
10,369,"April 01, 2016, 10:00:00 AM",204.9,4.1
11,417,"April 01, 2016, 11:00:00 AM",204.9,4.1
12,445,"April 01, 2016, 12:00:00 PM",207.0,3.6
13,490,"April 01, 2016, 01:00:00 PM",207.0,3.6
14,522,"April 01, 2016, 02:00:00 PM",207.0,3.6
15,563,"April 01, 2016, 03:00:00 PM",207.1,3.0
16,608,"April 01, 2016, 04:00:00 PM",207.1,3.0
17,635,"April 01, 2016, 05:00:00 PM",207.1,3.0
18,671,"April 01, 2016, 06:00:00 PM",243.8,1.9
19,691,"April 01, 2016, 07:00:00 PM",243.8,1.9
20,740,"April 01, 2016, 08:00:00 PM",243.8,1.9
21,790,"April 01, 2016, 09:00:00 PM",262.1,2.9
22,811,"April 01, 2016, 10:00:00 PM",262.1,2.9
23,836,"April 01, 2016, 11:00:00 PM",262.1,2.9
24,871,"April 02, 2016, 01:00:00 AM",262.3,2.9
25,914,"April 02, 2016, 02:00:00 AM",262.3,2.9
26,945,"April 02, 2016, 03:00:00 AM",271.8,2.8
27,988,"April 02, 2016, 04:00:00 AM",271.8,2.8
28,1022,"April 02, 2016, 05:00:00 AM",271.8,2.8
29,1064,"April 02, 2016, 06:00:00 AM",279.8,1.5
30,1098,"April 02, 2016, 07:00:00 AM",279.8,1.5
31,1135,"April 02, 2016, 08:00:00 AM",279.8,1.5
32,1182,"April 02, 2016, 09:00:00 AM",272.3,1.3
33,1205,"April 02, 2016, 10:00:00 AM",272.3,1.3
34,1259,"April 02, 2016, 11:00:00 AM",272.3,1.3
35,1295,"April 02, 2016, 12:00:00 PM",203.3,1.3
36,1318,"April 02, 2016, 01:00:00 PM",203.3,1.3
37,1359,"April 02, 2016, 02:00:00 PM",203.3,1.3
38,1390,"April 02, 2016, 03:00:00 PM",188.6,2.1
39,1435,"April 02, 2016, 04:00:00 PM",188.6,2.1
40,1471,"April 02, 2016, 05:00:00 PM",188.6,2.1
41,1504,"April 02, 2016, 06:00:00 PM",199.9,2.7
42,1544,"April 02, 2016, 07:00:00 PM",199.9,2.7
43,1561,"April 02, 2016, 08:00:00 PM",199.9,2.7
44,1617,"April 02, 2016, 09:00:00 PM",225.0,2.6
45,1648,"April 02, 2016, 10:00:00 PM",225.0,2.6
46,1677,"April 02, 2016, 11:00:00 PM",225.0,2.6
