,Unnamed: 0,Location,Burrito,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Mass (g),Density (g/mL),Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa.1,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini,latitudes,longitudes
0,0,Donato's taco shop,California ,1/18/2016,Sorrento Valley,6780 Miramar Rd,http://donatostacoshop.net/,3.5,4.2,,6.49,3.0,,,,,,3.0,5.0,3.0,3.5,4.0,4.0,4.0,4.0,4.0,3.8,,Scott,good fries: 4/5,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8791066,-117.168608
1,1,Oscar's Mexican food,California ,1/24/2016,Pacific Beach,225 S Rancho Santa Fe Rd,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3.5,3.3,,5.45,3.5,,,,,,2.0,3.5,2.5,2.5,2.0,4.0,3.5,2.5,5.0,3.0,,Scott,Fries: 3/5; too little meat,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.808168,-117.2608483
2,2,Oscar's Mexican food,Carnitas,1/24/2016,Pacific Beach,,,,,,4.85,1.5,,,,,,3.0,2.0,2.5,3.0,4.5,4.0,3.0,3.0,5.0,3.0,,Emily,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.808168,-117.2608483
3,3,Oscar's Mexican food,Carne asada,1/24/2016,Pacific Beach,,,,,,5.25,2.0,,,,,,3.0,2.0,3.5,3.0,4.0,5.0,4.0,4.0,5.0,3.75,,Ricardo,Go to average burrito place like Rigoberto's in la jolla; Terrible tamales,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.808168,-117.2608483
4,4,Pollos Maria,California,1/27/2016,,3055 Harding St,http://pollosmaria.com/,4.0,3.8,x,6.59,4.0,,,,,,4.0,5.0,4.0,3.5,4.5,5.0,2.5,4.5,4.0,4.2,,Scott,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.161209,-117.344305
5,5,Pollos Maria,combo chicken,1/28/2016,,,,,,,6.99,4.0,,,,,,3.0,4.0,5.0,3.5,2.5,2.5,2.5,4.0,1.0,3.2,,Emily,,,,,,x,x,,x,,x,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,33.161209,-117.344305
6,6,Nico's Taco Shop,California,1/30/2016,Carmel Valley,3860 Valley Centre Dr #404,http://www.yelp.com/biz/nicos-taco-shop-san-diego,3.0,2.9,,7.19,1.5,,,,,,2.0,3.0,3.0,2.0,2.5,2.5,,2.0,3.0,2.6,,Scott,not fries. big potatoes,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9388172,-117.23184950000001
7,7,Nico's Taco Shop,Carnitas,1/30/2016,Carmel Valley,,,,,,6.99,4.0,,,,,,2.5,3.0,3.0,2.5,3.0,3.5,,2.5,3.0,3.0,,Emily,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9388172,-117.23184950000001
8,8,Los Primos Mexican Food,Monster California,2/1/2016,Point Loma,7770 Regents Rd,http://www.primosmex.com/,3.0,3.7,x,9.25,3.5,,,,,,2.0,4.5,4.5,3.5,1.5,3.0,3.5,4.0,2.0,3.9,,Scott,this tasted really bad leftover. not included in rating,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.72815070000001,-117.217707
9,9,JV's Mexican Food,Carne Asada,2/6/2016,Morena,1112 Morena Blvd,http://jvsmexfood.com/,4.0,4.1,,6.25,3.5,,,,,,2.5,1.5,1.5,3.0,4.5,3.0,1.5,2.0,4.5,2.0,,Scott,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.768622,-117.20033490000002
10,10,JV's Mexican Food,Surf & Turf,2/6/2016,Morena,,,,,,9.5,2.0,,,,,,2.5,2.5,2.75,2.5,2.5,2.0,0.5,3.0,3.5,2.5,,Emily,Huge. Shrimp is good. Meat is normal,,,x,,x,,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,32.768622,-117.20033490000002
11,11,Tony's Fresh Mexican Food,Chile verde pork,2/11/2016,Point Loma,7122 Miramar Rd,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,3.0,4.1,x,6.95,2.0,,,,,,3.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,,Marc,,,,,x,,,x,,x,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,32.7273917,-117.2272278
12,12,Tony's Fresh Mexican Food,California,2/11/2016,Point Loma,,,,,,6.25,3.5,,,,,,3.0,3.5,3.5,4.0,2.0,3.5,1.0,4.0,4.0,3.9,,Scott,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7273917,-117.2272278
13,13,Tony's Fresh Mexican Food,battered fish ,2/11/2016,Point Loma,,,,,,6.99,3.0,,,,,,3.0,1.0,1.5,2.5,4.0,4.0,3.0,4.5,5.0,2.0,,Nicole,,,,,,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,,32.7273917,-117.2272278
14,14,Tony's Fresh Mexican Food,California,2/11/2016,Point Loma,,,,,,6.25,3.0,,,,,,4.0,,2.0,2.0,4.0,4.0,,3.0,4.0,2.75,,Cris,"to-go, no guac or sour cream, fries are a small and underdone",,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7273917,-117.2272278
15,15,Taco Stand,California,2/12/2016,Core-Columbia,621 Pearl St,http://letstaco.com/,4.5,4.4,,7.49,4.0,,,,,,3.0,2.5,4.0,4.0,3.5,2.5,3.5,5.0,4.5,4.2,,Emily,Horchata is very sweet,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.717622999999996,-117.15863190000002
16,16,Taco Stand,Surf and turf ,2/12/2016,Core-Columbia,,,,,,8.49,2.5,,,,,,4.0,4.0,4.5,4.0,5.0,4.5,3.5,4.0,2.0,4.1,,Scott,,,,x,x,x,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,32.717622999999996,-117.15863190000002
17,17,Graciela's Taco Shop,Adobada ,2/14/2016,,5047 Central Ave,https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,4.0,4.5,,5.99,3.0,,,,,,4.0,4.0,3.0,3.5,4.0,4.5,4.0,4.0,4.5,4.0,,Scott,Salsa verde spicy,,,,,,,,,x,,,,,x,,,,,,,x,x,x,,,,,,,,,,,,,,,32.6976919,-117.0201639
18,18,Graciela's Taco Shop,Barbacoa,2/14/2016,,,,,,,5.99,2.0,,,,,,3.5,4.0,3.5,,4.0,,4.0,4.0,1.5,4.0,,Emily,,,,x,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,32.6976919,-117.0201639
19,19,Rigoberto's Taco Shop La Jolla,California,2/17/2016,La Jolla,7345 La Jolla Blvd,https://www.yelp.com/biz/rigobertos-la-jolla-2,2.5,4.0,,6.4,4.0,,,,,,3.0,4.0,2.75,3.0,4.0,2.0,2.0,,5.0,3.0,,Leo,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8372448,-117.27807240000001
20,20,Rigoberto's Taco Shop La Jolla,California,2/17/2016,La Jolla,,,,,,6.4,2.5,,,,,,3.5,3.0,3.0,3.0,4.0,4.0,1.5,,4.5,3.5,,Scott,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8372448,-117.27807240000001
21,21,Lolita's taco shop,2 in 1,2/24/2016,Kearny Mesa,7305 Clairemont Mesa Blvd,http://lolitasmexicanfood.com/,4.0,4.4,,8.75,3.5,,,,,,1.5,2.0,3.0,3.5,4.0,1.0,3.5,4.5,4.0,4.0,,Scott,Rolled tacos need more meat,,,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,32.832367,-117.16045849999999
