survey_organization,party_affiliation,start_date,end_date,survey_method,survey_question,survey_population,survey_sample,approve_percent,disapprove_percent,undecided_percent,margin_of_error
Democracy Corps (D),Democrat,2008-11-19,2008-11-23,Live Phone,,Likely Voters,1000,53,20,28,3
ABC News,None,2008-11-19,2008-11-23,Live Phone,,Adults,1003,67,18,15,3
CNN,None,2008-12-01,2008-12-02,Live Phone,,Adults,1096,79,18,3,3
USA Today/Gallup,None,2008-12-01,2008-12-01,Live Phone,,Adults,1010,78,13,9,3
AP-GFK,None,2008-12-03,2008-12-08,Live Phone,,Adults,1000,73,14,8,3.1
Pew,None,2008-12-03,2008-12-07,Live Phone,,Adults,1489,78,18,10,3
Newsweek,None,2008-12-03,2008-12-04,Live Phone,,Adults,1006,72,13,15,3.7
NBC/WSJ,None,2008-12-05,2008-12-08,Live Phone,,Adults,1009,73,13,14,3.1
Times/Bloomberg,None,2008-12-06,2008-12-08,Live Phone,,Adults,1000,79,10,11,3
Marist College,None,2008-12-09,2008-12-10,Live Phone,,Registered Voters,883,63,10,27,3.5
ABC/Post,None,2008-12-11,2008-12-14,Live Phone,,Adults,1003,76,15,9,3
USA Today/Gallup,None,2008-12-12,2008-12-14,Live Phone,,Adults,1008,75,17,8,3
Democracy Corps (D),Democrat,2008-12-16,2008-12-18,Live Phone,,Likely Voters,1000,57,19,24,3
CNN,None,2008-12-19,2008-12-21,Live Phone,,Adults,1013,82,15,3,3
Winston Group (R),Republican,2008-12-29,2008-12-30,Live Phone,,Registered Voters,1000,61,13,25,
Zogby (Internet),None,2009-01-06,2009-01-08,Internet,,Likely Voters,3498,58,36,6,1.6
Harris (Phone),None,2009-01-07,2009-01-11,Live Phone,,Adults,1019,60,29,10,3
Pew,None,2009-01-07,2009-01-11,Live Phone,,Adults,1503,70,18,12,3
AP-GFK,None,2009-01-09,2009-01-14,Live Phone,,Adults,1001,74,15,6,3.1
NBC/WSJ,None,2009-01-09,2009-01-12,Live Phone,,Adults,1007,71,14,15,3.1
USA Today/Gallup,None,2009-01-09,2009-01-11,Live Phone,,Adults,1031,83,12,5,3
CNN,None,2009-01-12,2009-01-15,Live Phone,,Adults,1245,84,14,2,3
ABC/Post,None,2009-01-13,2009-01-16,Live Phone,,Adults,1079,80,15,5,3
Rasmussen,None,2009-01-18,2009-01-20,Automated Phone,,Likely Voters,1500,65,30,,3
Gallup,None,2009-01-19,2009-01-25,Live Phone,,Adults (Democrats),,88,,,
Gallup,None,2009-01-19,2009-01-25,Live Phone,,Adults (Republicans),,41,,,
Gallup,None,2009-01-19,2009-01-25,Live Phone,,Adults (Independents),,62,,,
Rasmussen,None,2009-01-19,2009-01-21,Automated Phone,,Likely Voters,1500,64,29,,3
Rasmussen,None,2009-01-20,2009-01-22,Automated Phone,,Likely Voters,1500,62,29,,3
Diageo/Hotline,None,2009-01-21,2009-01-24,Live Phone,,Registered Voters,800,63,9,29,3.5
Diageo/Hotline,None,2009-01-21,2009-01-24,Live Phone,,Registered Voters (Democrats),392,76,1,23,
Diageo/Hotline,None,2009-01-21,2009-01-24,Live Phone,,Registered Voters (Republicans),223,42,23,35,
Diageo/Hotline,None,2009-01-21,2009-01-24,Live Phone,,Registered Voters (Independents),121,65,4,31,
Gallup,None,2009-01-21,2009-01-23,Live Phone,,Adults,1591,68,12,21,3
Rasmussen,None,2009-01-21,2009-01-23,Automated Phone,,Likely Voters,1500,61,33,,3
Zogby (Internet),None,2009-01-22,2009-01-26,Internet,,Likely Voters,3684,52,29,19,1.7
Rasmussen,None,2009-01-22,2009-01-24,Automated Phone,,Likely Voters,1500,60,36,,3
Gallup,None,2009-01-22,2009-01-24,Live Phone,,Adults,1500,69,13,,3
Gallup,None,2009-01-23,2009-01-25,Live Phone,,Adults,1500,67,14,,3
