survey_organization,party_affiliation,start_date,end_date,survey_method,survey_question,survey_population,survey_sample,approve_percent,disapprove_percent,undecided_percent,margin_of_error
Gallup,None,2017-01-20,2017-01-22,Live Phone,,Adults,1500,45,45,,3
Ipsos/Reuters,None,2017-01-20,2017-01-24,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults,1633,43,45,13,2.8
Ipsos/Reuters,None,2017-01-20,2017-01-24,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults (Democrats),680,15,75,10,4.3
Ipsos/Reuters,None,2017-01-20,2017-01-24,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults (Republicans),557,85,11,4,4.7
Ipsos/Reuters,None,2017-01-20,2017-01-24,Internet,"Overall, do you approve or disapprove about the way Donald Trump is handling his job as President?",Adults (Independents),228,38,39,23,7.4
Politico/Morning Consult,None,2017-01-20,2017-01-22,Internet,,Registered Voters,1992,46,37,17,2
Politico/Morning Consult,None,2017-01-20,2017-01-22,Internet,,Registered Voters (Democrats),744,18,67,15,
Politico/Morning Consult,None,2017-01-20,2017-01-22,Internet,,Registered Voters (Republicans),642,83,8,9,
Politico/Morning Consult,None,2017-01-20,2017-01-22,Internet,,Registered Voters (Independents),606,41,31,28,
Quinnipiac,None,2017-01-20,2017-01-25,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Registered Voters,1190,36,44,19,2.8
Quinnipiac,None,2017-01-20,2017-01-25,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Registered Voters (Democrats),,4,77,19,
Quinnipiac,None,2017-01-20,2017-01-25,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Registered Voters (Republicans),,81,3,15,
Quinnipiac,None,2017-01-20,2017-01-25,Live Phone,Do you approve or disapprove of the way Donald Trump is handling his job as President?,Registered Voters (Independents),,35,45,20,
Gallup,None,2017-01-21,2017-01-23,Live Phone,,Adults,1500,45,46,,3
